published_at,headline,compound_score,sentiment_label
03-01-2000,How's Apple going to get out of its China jam?,0,Neutral
04-01-2000,"Jon Hamm on his new Apple TV+ show, 'Your Friends & Neighbors'",0.4767,Positive
05-01-2000,"American Century Companies Inc. Has $1.19 Million Stock Holdings in Apple Hospitality REIT, Inc. (NYSE:APLE)",0,Neutral
06-01-2000,"Not All Of Mag 7, But A 'Handful:' F/m Investments Selectively Adds Apple, Meta After Trump's Tariff Announcement",0,Neutral
07-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
08-01-2000,iPhone 16 buyers aren't happy - and Apple may have a legal problem on its hands,-0.6367,Negative
09-01-2000,Tariff cuts impact Apple on both hardware and software fronts,-0.296,Negative
10-01-2000,"Despite Trump admin pressure, Apple is unlikely to move iPhone production to the US soon due to facility, labor, and supply chain gaps only Asia can fill now",0.2235,Positive
11-01-2000,Chaney Capital Management Inc. Sells 484 Shares of Apple Inc. (NASDAQ:AAPL),0.296,Positive
12-01-2000,"Hendershot Investments Inc. Sells 3,549 Shares of Apple Inc. (NASDAQ:AAPL)",0.296,Positive
13-01-2000,Benedict Financial Advisors Inc. Has $24.65 Million Stake in Apple Inc. (NASDAQ:AAPL),0,Neutral
14-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Acquired by Sanchez Wealth Management Group,0.6597,Positive
15-01-2000,Empirical Finance LLC Has $127.23 Million Holdings in Apple Inc. (NASDAQ:AAPL),0,Neutral
16-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Reduced by Windsor Capital Management LLC,0,Neutral
17-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Sold by Thompson Investment Management Inc.,0.296,Positive
18-01-2000,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Pacific Wealth Strategies Group Inc.,0.6597,Positive
19-01-2000,Apple Inc. (NASDAQ:AAPL) is Alliance Wealth Advisors LLC’s 6th Largest Position,0.4939,Positive
20-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Lessened by Birch Hill Investment Advisors LLC,0,Neutral
21-01-2000,Apple Inc. (NASDAQ:AAPL) Stock Position Increased by Howland Capital Management LLC,0.2732,Positive
22-01-2000,Hobart Private Capital LLC Boosts Stock Holdings in Apple Inc. (NASDAQ:AAPL),0.3182,Positive
23-01-2000,"Dow Tumbles Over 1,000 Points As Nvidia, Apple And Tesla Decline: Greed Index Remains In 'Extreme Fear' Zone",-0.7096,Negative
24-01-2000,"Insignia Braided Nylon Apple Watch Band â Olive Green (42â49mm, All Series) $5.49 + Free Shipping (0 replies)",0.5106,Positive
25-01-2000,"Insignia Braided Nylon Apple Watch Band – Olive Green (42–49mm, All Series) $5.49 + Free Shipping",0.5106,Positive
26-01-2000,See a collection of homes inspired by Your Friends & Neighbors on Apple TV+,0.743,Positive
27-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
28-01-2000,"RackSolutions、Mac mini (2024)を最大10台収納できる2Uサーバーラックマウント「2U HyperShelf for 10 Apple Mac Mini (M4, 2024)」を発売。",0,Neutral
29-01-2000,[Starts April 13] $100 Apple Gift Card + $10 Target eGift Card (Digital Delivery) $100,0.4404,Positive
30-01-2000,Apple quickly shipped 600 tons of iPhones to ‘beat’ the new tariffs,0,Neutral
31-01-2000,"Apple is left without a life raft as Trump’s China trade war intensifies, analysts warn",-0.6486,Negative
01-02-2000,Apple (NASDAQ:AAPL) Raised to “Hold” at Jefferies Financial Group,0,Neutral
02-02-2000,When—and by how much—will Apple raise iPhone prices in the US? And why a 'Made in America' iPhone is unlikely,0,Neutral
03-02-2000,"A 145% US tariff on China will hit Apple, and Ireland’s corporation tax",0,Neutral
04-02-2000,Apple airlifted 600 tons of iPhones to the U.S. to try to beat Trump’s tariffs as customers scramble to secure devices before possible price increases,0.34,Positive
05-02-2000,Stephen King: King of Horror 9-Movie Collection (4 UHD + 5 HD Digital Films) $14.99 @ Apple iTunes,-0.5719,Negative
06-02-2000,Apple supplier GSEO reports March revenue surge amid tariff uncertainty,-0.34,Negative
07-02-2000,What the tariff pause and China escalation mean for Apple shares - CNBC,0.296,Positive
08-02-2000,Apple celebrates iPhone 16 release day in one more country,0.5719,Positive
09-02-2000,Microsoft stock or Apple shares: Which is the world's largest company after Trump's tariffs?,0.296,Positive
10-02-2000,Why Trump’s China Tariffs Are Unlikely to Get Apple to Make iPhones in U.S.,0,Neutral
11-02-2000,"Jon Hamm stars in new series Your Friends & Neighbors, streaming today on Apple TV+",0.4767,Positive
12-02-2000,Apple and TSMC face challenges ahead of 2nm chip launch,0.0772,Positive
13-02-2000,Alexander Skarsgård Is A Complex MURDERBOT In First Trailer For Apple TV+'s Latest Sci-Fi Series,0,Neutral
14-02-2000,"Apple, Nvidia, Meta, and more Magnificent 7 stocks slide as the Nasdaq rally kicks into reverse",0.6361,Positive
15-02-2000,"Apple has few incentives to start making iPhones in U.S., despite Trump's trade war with China",0.6647,Positive
16-02-2000,"Nvidia, Apple, Tesla, GM, Microsoft, CarMax, U.S. Steel, and Stock Movers",0,Neutral
17-02-2000,"Apple Intelligence and a New Interface Might be Coming to watchOS 12, But Don’t Hold Your Breath!",0.3274,Positive
18-02-2000,"Earn 20x Everyday Rewards Points on Apple Gift Cards (Limit 10 Cards Per Day, In-Store Only) @ Woolworths",0.7184,Positive
19-02-2000,My Favorite Apple Arcade Series Gets a New Addition in May,0.4588,Positive
20-02-2000,"Apple MacBook Air M2 running out of stock, save $300 while you can!",0.5411,Positive
21-02-2000,Here Are The 8 New Emoji Apple Brought To Your iPhone With iOS 18.4,0,Neutral
22-02-2000,Here Are The 8 New Emoji Apple Brought To Your iPhone With iOS 18.4,0,Neutral
23-02-2000,Bank of America: iPhone Buyers Would Face 90% Cost Surge if Apple Moves Production to U.S.,0,Neutral
24-02-2000,Wayne Ma at The Information: ‘How Apple Fumbled Siri’s AI Makeover’,0,Neutral
25-02-2000,Here’s how Apple could prevent iPhone prices from going up due to tariffs,0.0258,Neutral
26-02-2000,Here's an Apple Studio Display alternative for the rest of us - the oddly-named Dough Spectrum Canvas offers 6K resolution,0,Neutral
27-02-2000,"Hit Apple TV+ series ‘Shrinking’ adds Jeff Daniels, two more stars to loaded Season 3 cast",0,Neutral
28-02-2000,How to Watch New Jon Hamm Series ‘Your Friends and Neighbors’ on Apple TV+,0.4767,Positive
29-02-2000,Jim Cramer on Apple Inc. (AAPL): Can Tariffs Derail the iPhone Giant’s Global Dominance?,-0.1027,Negative
01-03-2000,"Micro Center: 14.2"" Apple MacBook Pro (2023): M3 Pro Chip, 36GB Memory, 1TB SSD $1700 (Select Stores) + Free Store Pickup",0.5106,Positive
02-03-2000,"Apple Analyst Slashes Price Forecast On Weak iPhone Demand, AI Revenue Despite Less Tariff Risk",-0.5562,Negative
